3DO Interactive Multiplayer|29
Aamber Pegasus|83
Acorn Archimedes|84
Acorn Atom|36
Acorn Electron|85
Amstrad CPC|65
Amstrad GX4000|87
Android|63
Apple II|86
Apple IIGS|217
Apple Mac OS|146
Arcade|47
Atari 2600|26
Atari 5200|40
Atari 7800|41
Atari 800|43
Atari Jaguar CD|171
Atari Jaguar|27
Atari Lynx|28
Atari ST|42
Bally Astrocade|44
BBC Microcomputer System|37
Camputers Lynx|88
Casio Loopy|98
Casio PV-1000|74
Coleco ADAM|89
ColecoVision|48
Commodore 64|66
Commodore Amiga CD32|130
Commodore Amiga|64
Commodore CDTV|129
Commodore Plus 4|99
Commodore VIC-20|73
EACA EG2000 Colour Genie|92
Elektronika BK|93
Emerson Arcadia 2001|94
Entex Adventure Vision|78
Epoch Game Pocket Computer|95
Epoch Super Cassette Vision|67
Exelvision EXL 100|96
Fairchild Channel F|80
Fujitsu FM-7|97
Funtech Super Acan|100
GCE Vectrex|102
Hartung Game Master|103
Jupiter Ace|126
Magnavox Odyssey 2|104
Mattel Intellivision|115
Mega Duck|90
Microsoft MSX|113
Microsoft MSX2+|117
Microsoft MSX2|116
Microsoft Xbox 360|33
Microsoft Xbox One|34
Microsoft Xbox|32
MS-DOS|135
Namco System 22|156
NEC PC-FX|72
NEC TurboGrafx-16|31
Nintendo 3DS|17
Nintendo 64|14
Nintendo 64DD|122
Nintendo DS|15
Nintendo Entertainment System|3
Nintendo Famicom Disk System|106
Nintendo Game Boy Advance|12
Nintendo Game Boy Color|10
Nintendo Game Boy|9
Nintendo GameCube|13
Nintendo Satellaview|107
Nintendo Switch|225
Nintendo Virtual Boy|11
Nintendo Wii U|18
Nintendo Wii|16
Nokia N-Gage|30
OpenBOR|214
Oric Atmos|131
PC Engine SuperGrafx|105
Philips CD-i|133
Radio-86RK Mikrosha|124
Sammy Atomiswave|53
ScummVM|123
Sega 32X|19
Sega CD|20
Sega Dreamcast|23
Sega Game Gear|21
Sega Genesis|1
Sega Master System|2
Sega Model 2|54
Sega Model 3|55
Sega Naomi 2|230
Sega Naomi|56
Sega Saturn|22
Sega SG-1000|109
Sega ST-V|69
Sharp X1|220
Sharp X68000|79
Sinclair ZX Spectrum|76
Sinclair ZX-81|77
SNK Neo Geo CD|70
SNK Neo Geo MVS|68
SNK Neo Geo Pocket Color|82
SNK Neo Geo Pocket|25
Sony Playstation 2|58
Sony Playstation 3|59
Sony Playstation 4|60
Sony Playstation Vita|62
Sony Playstation|57
Sony PSP Minis|172
Sony PSP|61
Spectravideo|218
Super Nintendo Entertainment System|4
Taito Type X|112
Taito Type X|112
Texas Instruments TI 99/4A|205
TRS-80 Color Computer|144
Watara Supervision|207
Windows 3.X|136
Windows|138
WonderSwan Color|46
WonderSwan|45
WoW Action Max|81
